title,author,series,position,subgenre,spice,fave,rating
House of Beating Wings,Olivia Wildenstein,The Kingdom of Crows,1,Romantasy,0,,0
House of Pounding Hearts,Olivia Wildenstein,The Kingdom of Crows,2,Romantasy,0,,0
House of Striking Oaths,Olivia Wildenstein,The Kingdom of Crows,3,Romantasy,0,,0
All He'll Ever Be,W Winters,Merciless,,Romance,0,,0
Upon a Starlit Tide,Kell Woods,,,Romantasy,0,,0
Fourth Wing,Rebecca Yarros,The Empyrean,1,Romantasy,4,,0
Iron Flame,Rebecca Yarros,The Empyrean,2,Romantasy,4,,0
Onyx Storm,Rebecca Yarros,The Empyrean,3,Romantasy,0,,0
Nocticadia,Keri Lake,,,Dark Romance,0,,0
The Works of Vermin,Hiron Ennes,,,Romance,0,yes,5.0
Twisted Love,Ana Huang,Twisted,1,Romance,4,,3.5
Twisted Games,Ana Huang,Twisted,2,Romance,4,,3.5
The Last Tale of the Flower Bride,Roshani Chokshi,,,Romance,0,,3.5
Twisted Hate,Ana Huang,Twisted,3,Romance,0,,4.0
Twisted Lies,Ana Huang,Twisted,4,Romance,0,,3.5
The Lost Kings,Ashley Munoz,,1,Romance,0,,3.0
The Broken Queen,Ashley Munoz,,2,Romance,0,,3.0
My Funny Demon Valentine,Aurora Ascher,Hell Bent,1,Romantasy,0,,3.5
My Demon Hunter,Aurora Ascher,Hell Bent,2,Romantasy,0,,3.5
The Poet Empress,Shen Tao,,,Romantasy,0,,4.5
Done and Dusted,Iyla Sage,Rebel Blue Ranch,1,Romance,0,,3.5
Willing Prey,Allie Oleander,,1,Romance,0,,3.5
Swift and Saddled,Iyla Sage,Rebel Blue Ranch,2,Romance,0,,3.5
Lost and Lassoed,Iyla Sage,Rebel Blue Ranch,3,Romance,0,,3.5
Flock,Kate Stewart,The Ravenhood Series,1,Romance,0,,3.5
Exodus,Kate Stewart,The Ravenhood,2,Romance,0,,3.0
Wild and Wrangled,Iyla Sage,,4,Romance,0,,0
The Finish Line,Kate Stewart,The Ravenhood,3,Romance,0,,3.5
One Last Rainy Day,Kate Stewart,,1,Romance,0,yes,5.0
Mountain Boss,S.J. Tilly,,1,Romance,0,,2.5
Big Swiss,,,,Romance,0,,0
